,artist,genre,link
0,How I Became The Bomb,Pop/Rock,https://www.allmusic.com/artist/how-i-became-the-bomb-mn0001551521
1,Portugal. The Man,Pop/Rock,https://www.allmusic.com/artist/portugal-the-man-mn0000716469
2,Erykah Badu,R&B,https://www.allmusic.com/artist/erykah-badu-mn0000170770
3,Backstreet Boys,Pop/Rock,https://www.allmusic.com/artist/backstreet-boys-mn0000765595
4,Kevin Rudolf,Rap,https://www.allmusic.com/artist/kevin-rudolf-mn0000768062
5,fun.,Pop/Rock,https://www.allmusic.com/artist/fun-mn0002129441
6,Bucky Covington,Country,https://www.allmusic.com/artist/bucky-covington-mn0000649120
7,Eve,Rap,https://www.allmusic.com/artist/eve-mn0000150962
8,Emilia,Latin,https://www.allmusic.com/artist/emilia-mn0003905649
9,Pentatonix,Vocal,https://www.allmusic.com/artist/pentatonix-mn0002808236
10,10 Years,Pop/Rock,https://www.allmusic.com/artist/10-years-mn0000331323
11,Deryl Dodd,Country,https://www.allmusic.com/artist/deryl-dodd-mn0000249559
12,The Tractors,Country,https://www.allmusic.com/artist/the-tractors-mn0000481827
13,Rupee,Latin,https://www.allmusic.com/artist/rupee-mn0000360948
14,Dr. Dre,Rap,https://www.allmusic.com/artist/dr-dre-mn0000805274
15,Lisa Stansfield,R&B,https://www.allmusic.com/artist/lisa-stansfield-mn0000302106
16,Marsha Ambrosius,R&B,https://www.allmusic.com/artist/marsha-ambrosius-mn0000478173
17,Koffee Brown,R&B,https://www.allmusic.com/artist/koffee-brown-mn0000093872
18,Topic,Pop/Rock,https://www.allmusic.com/artist/topic-mn0003411102
19,Darude,Electronic,https://www.allmusic.com/artist/darude-mn0000678465
20,Canibus,Rap,https://www.allmusic.com/artist/canibus-mn0000654393
21,Cobra Starship,Pop/Rock,https://www.allmusic.com/artist/cobra-starship-mn0000981156
22,Ying Yang Twins,Rap,https://www.allmusic.com/artist/ying-yang-twins-mn0000584041
23,Yellowcard,Pop/Rock,https://www.allmusic.com/artist/yellowcard-mn0000686359
24,Jill Sobule,Pop/Rock,https://www.allmusic.com/artist/jill-sobule-mn0000280692
25,Cher,Pop/Rock,https://www.allmusic.com/artist/cher-mn0000107090
26,Richie Rich,Rap,https://www.allmusic.com/artist/richie-rich-mn0001186683
27,Artists For Haiti,Pop/Rock,https://www.allmusic.com/artist/artists-for-haiti-mn0002529551
28,Mr. President,Electronic,https://www.allmusic.com/artist/mr-president-mn0000521202
29,Patty Loveless,Country,https://www.allmusic.com/artist/patty-loveless-mn0000019241
30,Jon Secada,Latin,https://www.allmusic.com/artist/jon-secada-mn0000258882
31,Chris Young,Country,https://www.allmusic.com/artist/chris-young-mn0001379627
32,Militia,Rap,https://www.allmusic.com/artist/militia-mn0000899586
33,Who Is Fancy,Country,https://www.allmusic.com/artist/who-is-fancy-mn0003370615
34,Rehab,Electronic,https://www.allmusic.com/artist/r3hab-mn0002412201
35,Tim McGraw,Country,https://www.allmusic.com/artist/tim-mcgraw-mn0000592954
36,Phillip Phillips,Pop/Rock,https://www.allmusic.com/artist/phillip-phillips-mn0002944976
37,Monifah,R&B,https://www.allmusic.com/artist/monifah-mn0000926021
38,Fabolous,Rap,https://www.allmusic.com/artist/fabolous-mn0000153443
39,Goo Goo Dolls,Pop/Rock,https://www.allmusic.com/artist/goo-goo-dolls-mn0000949630
40,Jesse McCartney,Pop/Rock,https://www.allmusic.com/artist/jesse-mccartney-mn0000847374
41,High School Musical Cast,Stage & Screen,https://www.allmusic.com/artist/high-school-musical-cast-mn0000550120
42,Matisyahu,Reggae,https://www.allmusic.com/artist/matisyahu-mn0000075623
43,Ugly God,Rap,https://www.allmusic.com/artist/ugly-god-mn0003573463
44,George Harrison,Pop/Rock,https://www.allmusic.com/artist/george-harrison-mn0000209142
45,Davina,R&B,https://www.allmusic.com/artist/davina-mn0000235464
46,Lifehouse,Pop/Rock,https://www.allmusic.com/artist/lifehouse-mn0000263271
47,Lisa,Pop/Rock,https://www.allmusic.com/artist/lisa-mn0002890491
48,Tony Toni Tone,R&B,https://www.allmusic.com/artist/tony%21-toni%21-ton%C3%A9%21-mn0000790667
49,Suga Free,Rap,https://www.allmusic.com/artist/suga-free-mn0000576885
50,Joan Osborne,Pop/Rock,https://www.allmusic.com/artist/joan-osborne-mn0000524522
51,Calboy,Rap,https://www.allmusic.com/artist/calboy-mn0003798172
52,Various Artists,Electronic,https://www.allmusic.com/artist/various-artists-mn0000258947
53,Jake Paul,Pop/Rock,https://www.allmusic.com/artist/jake-paul-mn0002044674
54,Naughty By Nature,Rap,https://www.allmusic.com/artist/naughty-by-nature-mn0000379669
55,Uncle Kracker,Pop/Rock,https://www.allmusic.com/artist/uncle-kracker-mn0000219428
56,Annie Lennox,Pop/Rock,https://www.allmusic.com/artist/annie-lennox-mn0000585249
57,Kevin Denney,Country,https://www.allmusic.com/artist/kevin-denney-mn0000767883
58,Tom MacDonald,Pop/Rock,https://www.allmusic.com/artist/tom-macdonald-mn0001704504
59,Iconz,Rap,https://www.allmusic.com/artist/iconz-mn0000089804
60,lovelytheband,Pop/Rock,https://www.allmusic.com/artist/lovelytheband-mn0003677191
61,Fitz,Pop/Rock,https://www.allmusic.com/artist/fitz-mn0001700973
62,Ice Cube,Rap,https://www.allmusic.com/artist/ice-cube-mn0000086065
63,"Missy ""Misdemeanor"" Elliott",Rap,https://www.allmusic.com/artist/missy-elliott-mn0000502371
64,Keith Sweat,R&B,https://www.allmusic.com/artist/keith-sweat-mn0000767016
65,Lukas Graham,Pop/Rock,https://www.allmusic.com/artist/lukas-graham-mn0003065843
66,Kali Uchis,R&B,https://www.allmusic.com/artist/kali-uchis-mn0003446629
67,Frank Sinatra,Vocal,https://www.allmusic.com/artist/frank-sinatra-mn0000792507
68,Buck 22,Country,https://www.allmusic.com/artist/buck-22-mn0003229925
69,Lisa Loeb,Pop/Rock,https://www.allmusic.com/artist/lisa-loeb-mn0000296802
70,Chris Stapleton,Country,https://www.allmusic.com/artist/chris-stapleton-mn0001766237
71,U.N.V.,R&B,https://www.allmusic.com/artist/unv-mn0000216978
72,Son By Four,Latin,https://www.allmusic.com/artist/son-by-4-mn0000036702
73,Shai,R&B,https://www.allmusic.com/artist/shai-mn0000791308
74,Trina,Rap,https://www.allmusic.com/artist/trina-mn0000025335
75,Jacob Sartorius,Pop/Rock,https://www.allmusic.com/artist/jacob-sartorius-mn0003514434
76,Yung L.A.,Rap,https://www.allmusic.com/artist/yung-la-mn0001017386
77,Nas,Rap,https://www.allmusic.com/artist/nas-mn0000373634
78,Eric Heatherly,Country,https://www.allmusic.com/artist/eric-heatherly-mn0000156749
79,Urge Overkill,Pop/Rock,https://www.allmusic.com/artist/urge-overkill-mn0000299776
80,Playboi Carti,Rap,https://www.allmusic.com/artist/playboi-carti-mn0003569215
81,My Chemical Romance,Pop/Rock,https://www.allmusic.com/artist/my-chemical-romance-mn0000520545
82,Jesse Powell,R&B,https://www.allmusic.com/artist/jesse-powell-mn0000283015
83,Cherish,R&B,https://www.allmusic.com/artist/cherish-mn0000775494
84,Tori Amos,Pop/Rock,https://www.allmusic.com/artist/tori-amos-mn0000792530
85,Mark Morrison,R&B,https://www.allmusic.com/artist/mark-morrison-mn0000833539
86,ROCKMAFIA,Pop/Rock,https://www.allmusic.com/artist/ragamuffs-mn0004258412
87,Too $hort,Rap,https://www.allmusic.com/artist/too-hort-mn0001052511
88,Yeah Yeah Yeahs,Pop/Rock,https://www.allmusic.com/artist/yeah-yeah-yeahs-mn0000681154
89,Sammie,R&B,https://www.allmusic.com/artist/sammie-mn0000244048
90,Memphis Bleek,Rap,https://www.allmusic.com/artist/memphis-bleek-mn0000416605
91,Wade Hayes,Country,https://www.allmusic.com/artist/wade-hayes-mn0000812241
92,Firehouse,Pop/Rock,https://www.allmusic.com/artist/firehouse-mn0000175049
93,Fruit De La Passion,Pop/Rock,https://www.allmusic.com/artist/fruit-de-la-passion-mn0000741336
94,Akon,R&B,https://www.allmusic.com/artist/akon-mn0000933458
95,General Larry Platt,Pop/Rock,https://www.allmusic.com/artist/larry-platt-mn0002395039
96,Liam Payne,Pop/Rock,https://www.allmusic.com/artist/liam-payne-mn0002854539
97,Neal McCoy,Country,https://www.allmusic.com/artist/neal-mccoy-mn0000383853
98,Nicole,R&B,https://www.allmusic.com/artist/lady-wray-mn0003482142
99,Lil Bow Wow,Rap,https://www.allmusic.com/artist/lil-bow-wow-mn0001873103
100,Tamar Braxton,R&B,https://www.allmusic.com/artist/tamar-braxton-mn0000133177
101,Imagine Dragons,Pop/Rock,https://www.allmusic.com/artist/imagine-dragons-mn0002040645
102,Darius Rucker,Country,https://www.allmusic.com/artist/darius-rucker-mn0000956675
103,Lady Antebellum,Country,https://www.allmusic.com/artist/lady-antebellum-mn0003943921
104,SoMo,Pop/Rock,https://www.allmusic.com/artist/somo-mn0003178979
105,Marc Nelson,R&B,https://www.allmusic.com/artist/marc-nelson-mn0000674669
106,Red Hot Chili Peppers,Pop/Rock,https://www.allmusic.com/artist/red-hot-chili-peppers-mn0000883318
107,The Kenny Wayne Shepherd Band,Pop/Rock,https://www.allmusic.com/artist/kenny-wayne-shepherd-band-mn0002722429
108,J.I The Prince Of N.Y,Rap,https://www.allmusic.com/artist/ji-the-prince-of-ny-mn0003911872
109,Ca$h Out,Rap,https://www.allmusic.com/artist/cah-out-mn0002903465
110,Forest For The Trees,Pop/Rock,https://www.allmusic.com/artist/forest-for-the-trees-mn0000738156
111,Leona Lewis,Pop/Rock,https://www.allmusic.com/artist/leona-lewis-mn0000944700
112,Larray,Rap,https://www.allmusic.com/artist/larray-mn0003890920
113,Frost,Rap,https://www.allmusic.com/artist/frost-mn0000741247
114,Kanye West,Rap,https://www.allmusic.com/artist/kanye-west-mn0000361014
115,TK Kravitz,Rap,https://www.allmusic.com/artist/tk-kravitz-mn0003525456
116,Crossfade,Pop/Rock,https://www.allmusic.com/artist/crossfade-mn0000129551
117,Nicole Renee,R&B,https://www.allmusic.com/artist/nicole-renee-mn0000869305
118,J. Dash,Rap,https://www.allmusic.com/artist/j-dash-mn0002043735
119,Chris Janson,Country,https://www.allmusic.com/artist/chris-janson-mn0001069933
120,matchbox twenty,Pop/Rock,https://www.allmusic.com/artist/matchbox-twenty-mn0000383889
121,Sech,Latin,https://www.allmusic.com/artist/sech-mn0003799650
122,Mr. Probz,Rap,https://www.allmusic.com/artist/mr-probz-mn0000666075
123,Jade,R&B,https://www.allmusic.com/artist/jade-mn0000105047
124,Zendaya,Pop/Rock,https://www.allmusic.com/artist/zendaya-mn0002732005
125,Eslabon Armado,Latin,https://www.allmusic.com/artist/eslabon-armado-mn0003938521
126,Hitman Sammy Sam,Rap,https://www.allmusic.com/artist/hitman-sammy-sam-mn0000682096
127,Ms. Jade,Rap,https://www.allmusic.com/artist/ms-jade-mn0000608514
128,D.R.A.M.,Rap,https://www.allmusic.com/artist/dram-mn0003413994
129,David Archuleta,Pop/Rock,https://www.allmusic.com/artist/david-archuleta-mn0001018022
130,Lil' Romeo,Rap,https://www.allmusic.com/artist/lil-romeo-mn0000234384
131,Money Man,Rap,https://www.allmusic.com/artist/money-man-mn0001462903
